2008-10-21,1,WN,335,IAD,TPA,-14,8
2008-10-21,1,WN,3231,IAD,TPA,2,19
2008-10-21,1,WN,448,IND,BWI,14,8
2008-10-21,1,WN,1746,IND,BWI,-6,-4
2008-10-21,2,WN,3920,IND,BWI,34,34
2008-10-21,2,WN,378,IND,JAX,11,25
2007-10-21,2,WN,509,IND,LAS,57,67
2007-10-21,2,WN,535,IND,LAS,-18,-1
2008-10-21,1,WN,11,IND,MCI,2,2
2008-10-21,1,WN,810,IND,MCI,-16,0
2009-10-21,1,WN,100,IND,MCO,1,6
2009-10-21,1,WN,1333,IND,MCO,80,94
2008-10-21,3,WN,829,IND,MDW,1,-4
2008-10-21,3,WN,1016,IND,MDW,10,0
2008-10-21,3,WN,1827,IND,MDW,-4,2
2007-10-21,3,WN,2272,IND,MDW,11,9
2007-10-21,3,WN,675,IND,PHX,15,27
2007-10-21,3,WN,1144,IND,PHX,-15,9
2007-10-21,1,WN,4,IND,TPA,16,28
2007-10-21,1,XE,7669,ONT,SLC,-18,-7
2007-10-21,1,XE,7669,ONT,SLC,110,123
2007-10-21,4,XE,7669,ONT,SLC,160,175
2007-10-21,4,XE,7669,ONT,SLC,30,42
2008-10-21,4,XE,7669,ONT,SLC,-18,-1
2008-10-21,4,XE,7669,ONT,SLC,155,167
2008-10-21,4,XE,7669,ONT,SLC,-16,-8
2008-10-21,1,XE,7669,ONT,SLC,15,31
2008-10-21,1,XE,7669,ONT,SLC,63,65
2008-10-21,1,XE,7669,ONT,SLC,26,39
2008-10-21,1,XE,7669,ONT,SLC,-4,-3
2008-10-21,1,XE,7669,ONT,SLC,-9,-7
2008-10-21,1,XE,7669,SLC,OKC,3,7
2008-10-21,2,XE,7669,SLC,OKC,5,0
2008-10-21,2,XE,7669,SLC,OKC,13,8
2008-10-21,3,XE,7669,SLC,OKC,-16,-6
2008-10-21,3,XE,7669,SLC,OKC,-12,4
2008-10-21,1,XE,7669,SLC,OKC,13,14
2008-10-21,1,XE,7669,SLC,OKC,2,1
2008-10-21,1,XE,7669,SLC,OKC,-11,0
2008-10-21,1,XE,7669,SLC,OKC,-9,-3
2008-10-21,4,XE,7669,SLC,OKC,0,3
2008-10-21,4,XE,7669,SLC,OKC,72,66
2008-10-21,1,XE,7669,SLC,OKC,-1,4
2008-10-21,1,XE,7669,SLC,OKC,143,147
2008-10-21,1,XE,7669,SLC,OKC,28,3
2008-10-21,1,XE,7669,SLC,OKC,104,104
2008-10-21,1,XE,7669,SLC,OKC,-10,1
2009-10-21,2,XE,7670,LAX,LAS,13,-42
2009-10-21,2,XE,7670,LAX,LAS,46,26
2009-10-21,1,XE,7671,LAS,LAX,-2,7
2009-10-21,1,XE,7671,LAS,LAX,3,-1
2009-10-21,3,XE,7671,OKC,SLC,2,-10
2009-10-21,3,XE,7671,SLC,MCI,-9,-2
2009-10-21,3,XE,7672,PHX,SLC,20,6
2009-10-21,3,XE,7672,PHX,SLC,15,5
